School Year,State,Dist Code,District Name,Sch Code,School Name,P-12 Total,K-12 Total,PK Total,Full K Total,Half K Total,Gr 1 Total,Gr 2 Total,Gr 3 Total,Gr 4 Total,Gr 5 Total,Gr 6 Total,Gr 7 Total,Gr 8 Total,Gr 9 Total,Gr 10 Total,Gr 11 Total,Gr 12 Total
2017,WA,06122,Ridgefield School District,2390,Ridgefield High School,824,824,0,0,0,0,0,0,0,0,0,0,0,219,211,191,203
2017,WA,01160,Ritzville School District,2132,Ritzville High School,125,125,0,0,0,0,0,0,0,0,0,0,0,39,29,29,28
2017,WA,32416,Riverside School District,4228,Riverside High School,475,475,0,0,0,0,0,0,0,0,0,0,0,113,120,137,105
2017,WA,17407,Riverview School District,3524,Cedarcrest High School,"1,002","1,002",0,0,0,0,0,0,0,0,0,0,0,255,253,251,243
2017,WA,34401,Rochester School District,1735,H.e.a.r.t. High School,30,30,0,0,0,0,0,0,0,0,0,0,0,0,6,8,16
2017,WA,34401,Rochester School District,4326,Rochester High School,658,658,0,0,0,0,0,0,0,0,0,0,0,163,167,163,165
2017,WA,13160,Royal School District,3516,Royal High School,489,489,0,0,0,0,0,0,0,0,0,0,0,119,134,122,114
2017,WA,28149,San Juan Island School District,2879,Friday Harbor High School,285,285,0,0,0,0,0,0,0,0,0,0,0,81,73,61,70
2017,WA,17001,Seattle Public Schools,2220,Ballard High School,"1,853","1,853",0,0,0,0,0,0,0,0,0,0,0,509,485,438,421
2017,WA,17001,Seattle Public Schools,3096,Chief Sealth International High School,"1,118","1,118",0,0,0,0,0,0,0,0,0,0,0,281,276,268,293
2017,WA,17001,Seattle Public Schools,2392,Cleveland High School STEM,858,858,0,0,0,0,0,0,0,0,0,0,0,227,221,201,209
2017,WA,17001,Seattle Public Schools,2182,Franklin High School,"1,259","1,259",0,0,0,0,0,0,0,0,0,0,0,291,299,331,338
2017,WA,17001,Seattle Public Schools,2306,Garfield High School,"1,760","1,760",0,0,0,0,0,0,0,0,0,0,1,455,464,453,387
2017,WA,17001,Seattle Public Schools,3276,Ingraham High School,"1,344","1,344",0,0,0,0,0,0,0,0,0,0,0,371,317,332,324
2017,WA,17001,Seattle Public Schools,1547,Middle College High School,129,129,0,0,0,0,0,0,0,0,0,0,0,1,9,23,96
2017,WA,17001,Seattle Public Schools,3479,Nathan Hale High School,"1,176","1,176",0,0,0,0,0,0,0,0,0,0,0,290,284,318,284
2017,WA,17001,Seattle Public Schools,3868,Nova High School,337,337,0,0,0,0,0,0,0,0,0,0,0,51,93,83,110
2017,WA,17001,Seattle Public Schools,3327,Rainier Beach High School,691,691,0,0,0,0,0,0,0,0,0,0,0,158,188,171,174
2017,WA,17001,Seattle Public Schools,2285,Roosevelt High School,"1,742","1,742",0,0,0,0,0,0,0,0,0,0,0,456,424,429,433
2017,WA,17001,Seattle Public Schools,3778,South Lake High School,69,69,0,0,0,0,0,0,0,0,0,0,0,2,7,16,44
2017,WA,17001,Seattle Public Schools,2234,West Seattle High School,993,993,0,0,0,0,0,0,0,0,0,0,0,274,225,252,242
2017,WA,29101,Sedro-Woolley School District,2150,Sedro Woolley Senior High School,"1,206","1,206",0,0,0,0,0,0,0,0,0,0,0,298,331,288,289
